index,symptom_name
207,一眼瞳孔经常向中间倾斜
208,一眼视力严重下降
209,一眼视力低下
210,一系血细胞增生
211,一般无症状低血糖
212,一般状态欠佳
213,一过性
214,一过性低血压
215,一过性体位性晕厥
216,一过性意识障碍
217,一过性神经损害
218,一过性节段性感觉减弱或消失
219,一过性黑朦
220,三侧视网膜母细胞瘤
221,三凹征
222,三叉神经功能障碍
223,三叉神经痛
224,三尖瓣关闭不全
225,三尖瓣区闻低调舒张中期杂音
226,三尖瓣区闻非喷射性喀喇音
227,三尖瓣反流
228,三尖瓣听诊区收缩期杂音
229,三尖瓣狭窄
230,三尖瓣轻度反流
231,三尖瓣闭锁
232,三度房室传导阻滞
233,三度房室传导阻滞第一心音强度经常变化
234,三日麻疹
235,三痛
236,三角头畸形
237,三角形缺损
238,三角肌塌陷
239,三角肌止点处
240,上下切牙
241,上下切牙切端间垂直向存在距离
242,上下切牙切端间垂直向存在距离不足3mm
243,上下切牙切端间垂直向距离3~5mm
244,上下切牙切端间垂直向距离5mm以上
245,上下切牙唇倾
246,上下前牙切端的前后距离超过3mm以上
247,上下唇过突且闭合不全
248,上下唇闭合不全
249,上下楼梯困难
250,上下牙开合
251,上下牙弓
252,上下睑鼻侧触痛
253,上下肢多发皮肤破损
254,上下肢血压差异过大
255,上下颌前牙前突
256,上下颌骨正常
257,上中切牙中间有缝隙
258,上举受限
259,上位椎体前移
260,上切牙切端盖过下切牙唇面的三分之一至二分之一
261,上切牙切端盖过下切牙唇面的三分之二以上
262,上切牙切端盖过下切牙唇面的二分之一至三分之二
263,上切牙牙冠切端盖过下切牙牙冠唇面的三分之一以上
264,上切牙突出
265,上列牙痛
266,上前牙前突
267,上前牙外伤
268,上半身比下半身长
269,上台阶肌无力
270,上呼吸道感染
271,上呼吸道阻塞性呼吸困难
272,上呼吸道阻塞性呼吸异常
273,上唇短厚翘起
274,上唇肿胀
275,上唇部红斑
276,上斜肌功能亢进
277,上斜肌过强
278,上斜肌运动障碍
279,上斜肌麻痹
280,上斜视
281,上段食管吞咽困难
282,上消化道出血
283,上牙弓前突
284,上牙松动
285,上牙脱落
286,上皮下水泡
287,上皮下沉着物
288,上皮下点状浸润
289,上皮剥脱
290,上皮可见小泡
291,上皮增生
292,上皮复发性糜烂
293,上皮样细胞、郎格汉斯巨细胞增生
294,上皮缺损
295,上皮缺损区色素沉着
296,上皮缺损区药物性白斑
297,上直肌运动障碍
298,上眶缘发育不良
299,上眼睑下垂
300,上眼睑增厚松弛
301,上眼睑松弛
302,上眼睑翻转困难
303,上睑下垂
304,上睑下垂伴睑球分离
305,上睑凹陷
306,上睑变硬
307,上睑增厚肥大
308,上睑外上侧疼痛隆起
309,上睑外上方肿胀
310,上睑外侧可扪
311,上睑外侧红肿
312,上睑外侧饱满
313,上睑延续像外下
314,上睑无横行皱襞
315,上睑板弧度变形伴睑球分离
316,上睑皮肤悬垂于睑缘
317,上睑睑球分离
318,上睑结膜乳头
319,上睑缘遮盖角膜上缘
320,上睑缺损
321,上睑臃肿
322,上睑覆盖角膜上方超过2mm
323,上睑覆盖角膜上缘
324,上睑部位
325,上睑隆起
326,上睑颞上方进行性肿胀
327,上穹隆外侧充血
328,上穹隆外侧红肿
329,上第1恒磨牙的近中颊尖咬合于下第1恒磨牙的近中颊沟
330,上肢上举困难
331,上肢低血压
332,上肢关节疼痛
333,上肢冻伤
334,上肢动脉受压
335,上肢发作性轻瘫
336,上肢发绀
337,上肢发麻
338,上肢受累较下肢重
339,上肢变粗
340,上肢外展困难
341,上肢多处皮肤破损
342,上肢完全弛缓性瘫痪
343,上肢形成瘢痕
344,上肢感觉丧失
345,上肢感觉异常
346,上肢憋胀不适
347,上肢挤压伤
348,上肢放散痛
349,上肢无力
350,上肢无力麻木冷感
351,上肢有弹性固定
352,上肢水肿
353,上肢浅静脉曲张
354,上肢淋巴结肿大
355,上肢疼
356,上肢疼痛
357,上肢痛
358,上肢皮温降低
359,上肢短小
360,上肢短缩
361,上肢神经受压症状
362,上肢结节
363,上肢缺血
364,上肢肌力减弱
365,上肢肌肉瘫痪
366,上肢肌肉的进行性萎缩
367,上肢肌肉萎缩
368,上肢肿块
369,上肢肿胀
370,上肢脂肪堆积
371,上肢自动症
372,上肢血压升高
373,上肢部分的迟缓性瘫痪
374,上肢震颤
375,上肢静脉回流受阻
376,上肢高血压
377,上肢麻木
378,上肢麻木无力
379,上肩带肌肉的进行性萎缩
380,上胸部发红
381,上脱位达Nelaton线之上
382,上脸软性肥厚
383,上腔静脉阻塞综合征
384,上腭正中间有一颗牙尖
385,上腹不适
386,上腹刀割剧痛
387,上腹剧痛
388,上腹压痛
389,上腹叩击痛
390,上腹叩诊鼓音
391,上腹感觉异常
392,上腹振水音
393,上腹振水音阳性
394,上腹有一包块
395,上腹疼痛
396,上腹痛
397,上腹痛隐痛
398,上腹空腹痛
399,上腹绞痛
400,上腹胀
401,上腹胀满
402,上腹胀痛
403,上腹胃型
404,上腹腹胀
405,上腹轻压痛
406,上腹部CT平扫
407,上腹部不适
408,上腹部刀割样剧痛
409,上腹部刀割样痛
410,上腹部包块
411,上腹部压痛
412,上腹部可有明显压痛
413,上腹部嘈杂不适
414,上腹部局部隆起
415,上腹部持续性疼痛
416,上腹部振水音
417,上腹部搏动性包块
418,上腹部搏动性肿块
419,上腹部烧灼感
420,上腹部疼痛
421,上腹部痛
422,上腹部绞痛
423,上腹部肿块
424,上腹部胀痛
425,上腹部血管杂音
426,上腹部轻压痛
427,上腹部轻度压痛
428,上腹部钝痛
429,上腹部间歇性疼痛
430,上腹部闷痛
431,上腹部阵发性疼痛
432,上腹部隐痛
433,上腹部饱胀
434,上腹部饱胀不适
435,上腹隐痛
436,上腹餐后痛
437,上腹饱满
438,上腹饱胀
439,上腹饱胀不适
440,上膜胀痛
441,上臂内收并旋内
442,上臂反常活动
443,上臂疼痛
444,上臂皮肤鹅卵石样改变
445,上视障碍
446,上象限盲
447,上险结膜有细小的乳头增生
448,上颈部疼痛
449,上颌两边是乳尖牙
450,上颌中切牙之间
451,上颌义齿腭侧面接触的腭
452,上颌乳尖牙的近中
453,上颌乳牙逐渐脱落
454,上颌前牙唇向倾斜
455,上颌前牙舌向倾斜
456,上颌前突
457,上颌单侧
458,上颌发育不足
459,上颌多生牙
460,上颌磨牙舌尖舌斜面与下颌颊尖的颊斜面相对
461,上颌磨牙颊尖颊斜面与下颌磨牙舌尖舌斜面相对
462,上颌第一恒磨牙早于下颌恒磨牙萌出所致远中错合
463,上颌第一磨牙颊面
464,上颌第二恒磨牙先于下颌前磨牙
465,上颌骨发育不全
466,上颌骨变长
467,上颌骨局部隆起
468,上颌骨牙槽骨骨折
469,下丘脑功能障碍
470,下丘脑损伤
471,下位椎体骨后突
472,下前牙位于上切牙唇侧
473,下半身发绀
474,下半身发麻
475,下咽不适
476,下唇悬挂
477,下唇糜烂
478,下唇红色斑块
479,下唇麻木
480,下坠感
481,下垂
482,下垂后潮红
483,下垂感
484,下尺桡关节不稳
485,下尿路症状
486,下斜肌亢进
487,下斜肌功能亢进
488,下斜肌运动障碍
489,下极不能触及
490,下牙弓处于远中位置
491,下直肌运动障碍
492,下眼睑部分缺失
493,下睑与眶缘结合部凹陷
494,下睑外翻
495,下睑皮肤松弛
496,下睑结膜
497,下睑缘外1/3缺损
498,下睑缘缺损
499,下睑缺损
500,下睑脂肪膨出
501,下睑色素痣
502,下睑袋区域皮肤色素沉着
503,下睑软性肥厚
504,下睑部组织臃肿膨隆
505,下睑隆起
506,下移
507,下穹隆结膜滤泡
508,下肢不全性瘫痪
509,下肢不等长
510,下肢不能负重
511,下肢不长
512,下肢乏力
513,下肢僵硬
514,下肢关节活动障碍
515,下肢内旋畸形
516,下肢冻伤
517,下肢凉、麻
518,下肢出血点
519,下肢剧烈疼痛
520,下肢剧痛
521,下肢单瘫
522,下肢压痛
523,下肢反射活动障碍
524,下肢发凉
525,下肢发热
526,下肢发麻
527,下肢可凹性水肿
528,下肢呈“O”型
529,下肢外旋
530,下肢外旋畸形
531,下肢外观异常
532,下肢多发皮肤破损
533,下肢多见
534,下肢完全性瘫痪
535,下肢弯曲呈弓形
536,下肢感觉减退
537,下肢感觉异常
538,下肢感觉障碍
539,下肢憋胀不适
540,下肢成角畸形
541,下肢抬高后皮肤苍白
542,下肢放射性疼痛
543,下肢放射痛
544,下肢旋转畸形
545,下肢无力
546,下肢无力僵硬
547,下肢无力麻木冷感
548,下肢无知觉
549,下肢步态不稳
550,下肢步态障碍
551,下肢水疱
552,下肢水肿
553,下肢沉重
554,下肢沉重酸胀
555,下肢活动受限
556,下肢浅静脉扩张
557,下肢浅静脉扩张迂曲
558,下肢浮肿
559,下肢淋巴结肿大
560,下肢淤点
561,下肢渐进性无力
562,下肢溃疡
563,下肢溃疡坏死
564,下肢牵涉痛
565,下肢畸形
566,下肢疼痛
567,下肢症状比上肢重
568,下肢痛麻凉
569,下肢瘢痕
570,下肢瘫软无力
571,下肢皮疹
572,下肢皮疹伴疼痛
573,下肢皮肤出现丘疹紫癜
574,下肢皮肤慢性溃疡
575,下肢皮肤撕裂
576,下肢皮肤温度降低
577,下肢皮肤破损
578,下肢皮肤苍白
579,下肢短小
580,下肢短缩
581,下肢短缩内旋
582,下肢短缩外旋畸形
583,下肢短缩畸形
584,下肢红肿
585,下肢组织间隙
586,下肢细长
587,下肢结节疼痛
588,下肢缩短
589,下肢缩短活动受限
590,下肢缺血
591,下肢缺血坏死
592,下肢缺血症状
593,"下肢肌
肉萎缩"
594,下肢肌力减退
595,下肢肌张力增高
596,下肢肌肉萎缩
597,下肢肿块
598,下肢肿痛
599,下肢肿胀
600,下肢肿胀伴溃烂
601,下肢胀痛
602,下肢脂肪堆积
603,下肢腱反射亢进
604,下肢色素沉着
605,下肢营养性改变
606,下肢血压较上肢明显降低
607,下肢血压降低
608,下肢负重障碍
609,下肢运动丧失
610,下肢运动障碍
611,下肢进行性无力
612,下肢远端皮肤感觉麻木
613,下肢迟缓性瘫痪
614,下肢酸痛
615,下肢酸胀感
616,下肢重于上肢
617,下肢间歇性跛行
618,下肢青紫色静脉突起
619,下肢静息痛
620,下肢静脉曲张
621,下肢静脉迂曲扩张
622,下肢骨痛
623,下肢高血压
624,下肢麻木
625,下肢麻木发凉
626,下肢麻木无力
627,下背部剧烈疼痛
628,下背部疼痛
629,下腰痛
630,下腰部疼痛
631,下腰部酸疼
632,下腹剧痛
633,下腹坠痛
634,下腹坠胀
635,下腹涨痛
636,下腹疼
637,下腹疼痛
638,下腹痛
639,下腹绞痛
640,下腹胀
641,下腹胀痛
642,下腹部剧烈绞痛
643,下腹部包块
644,下腹部压痛
645,下腹部反跳痛
646,下腹部搏动性肿物
647,下腹部疼痛
648,下腹部痛
649,下腹部红斑
650,下腹部钝痛
651,下腹部阵痛
652,下腹隐痛
653,下蹲困难
654,下蹲疼痛
655,下蹲肌无力
656,下面部宽大
657,下颌
658,下颌下压痛
659,下颌下肿大
660,下颌乳尖牙早失
661,下颌乳牙逐渐脱落
662,下颌偏斜
663,下颌前牙舌面
664,下颌前突
665,下颌功能运动
666,下颌双侧磨牙多生牙
667,下颌后缩
668,下颌后缩畸形
669,下颌后退
670,下颌微感紧张酸胀
671,下颌疼痛
672,下颌短小
673,下颌突出
674,下颌角下无痛性肿块
675,下颌角淋巴结肿大
676,下颌运动异常
677,下颌运动时关节出现弹响杂音
678,下颌运动时关节区出现疼痛
679,下颌部痛
680,下颌骨下垂
681,下颌骨发育不全
682,下颌骨后缩
683,下颌骨短小
684,下颌骨突出
685,下颌骨骨痛
686,不会哭
687,不伴有脑损伤
688,不伴瘙痒
689,不全性肠梗阻
690,不全瘫痪
691,不典型的银屑病鳞屑
692,不出汗
693,不发生剧烈的自发性疼痛
694,不可回纳
695,不可缓解的痛感
696,不同程度的弱视
697,不同部位的臂丛神经损伤对应不同的功能障碍
698,不吻合血管
699,不孕
700,不孕不育
701,不安
702,不完全性上睑下垂
703,不完全性偏瘫
704,不完全性膀胱外翻
705,不完全性表情肌瘫痪
706,不完全瘫痪
707,不完整
708,不定时腹疼
709,不对称发病
710,不对称性牙颌面畸形
711,不对称性短缩
712,不对称结节状
713,不对称腹胀
714,不平等
715,不影响视力
716,不思饮食
717,不成形便
718,不排大便
719,不排尿
720,不排胎便
721,不排胎粪
722,不敢站立
723,不敢走路
724,不明原因低热
725,不明原因体重下降
726,不明原因反复关节出血
727,不明原因反复皮肤出血
728,不明原因反复粘膜出血
729,不明原因发热
730,不明原因斜视
731,不明原因的体重下降
732,不明原因的发热
733,不易排出
734,不易破裂
735,不易觉察
736,不松动
737,不欲多饮
738,不正确的钢针内固定
739,不洁饮食
740,不活泼
741,不甚明显的阵发性隐痛
742,不由自主地在不允许的场合下排便
743,不留疤
744,不痒
745,不痛
746,不省人事2-3分钟
747,不稳定心绞痛
748,不稳定感
749,不稳感
750,不笑
751,不累及上下终板
752,不耐受饥饿
753,不耐热
754,不耐饥饿
755,不育
756,不能上翻显露龟头
757,不能主动伸直
758,不能主动屈曲
759,不能主动屈髋
760,不能主动活动髋关节
761,不能久坐
762,不能久站
763,不能伸手抓物
764,不能分辨自然光谱中的各种颜色
765,不能分辨自然光谱中的某种颜色
766,不能刷牙去除
767,不能后仰
768,不能向病灶侧凝视
769,不能回忆伤后情况
770,不能回忆当时情形
771,不能坐位
772,不能外展
773,不能对掌
774,不能屈曲
775,不能平卧
776,不能思考
777,不能感知
778,不能扩展
779,不能持续弯腰
780,不能排出
781,不能排尿
782,不能排胎粪
783,不能明视
784,不能正常持重
785,不能活动
786,不能活动髋关节
787,不能独坐
788,不能独立站立
789,不能独立行走
790,不能立
791,不能站立
792,不能站立行走
793,不能背屈
794,不能自我控制
795,不能行
796,不能行走
797,不能被擦去
798,不能言语
799,不能进食
800,不能闭合
801,不能靠拢
802,不脱屑
803,不自主发声
804,不自主地来回振动
805,不自主漏尿
806,不自主的眼球运动
807,不自主的舞蹈样动作
808,不自主运动
809,不自主震颤
810,不规则包块
811,不规则发热
812,不规则局限性肝脏肿大
813,不规则散大
814,不规则热
815,不规则热型
816,不规则生长
817,不规则结节
818,不规则肿块
819,不规则脱发区
820,不规则裂口
821,不规则近视散光
822,不规则阴道出血
823,不规则阴道流血
824,不规则阵痛
825,不规律宫缩
826,不适感
827,不透明
828,不随意排尿
829,不随意运动
830,不高出皮面
831,与下颌神经管重叠
832,与体位有关的自发痛
833,与动脉腔相通
834,与周围组织粘连固定
835,与温度无关的疼痛
836,与相邻动脉相通
837,与进食有关
838,与黏膜无牢固性粘连
839,且向颈背部放射
840,且眼部检查无器质性病变
841,丘疱疹
842,丘疹
843,丘疹周围会出现苍白的晕圈
844,丘疹型大量半球形损害散布于皮肤上
845,丘疹型开始为红褐色
846,丘疹型迅速转变为淡黄色
847,丘疹成片
848,丘疹状结节
849,丘疹鳞屑
850,丘疹鳞屑性皮损
851,丘脓疱
852,丙酮酸升高
853,丙酰肉碱增高
854,丛状
855,丝状型
856,丝状物
857,两下肢跛行
858,两个胎头
859,两个舌尖的下颌第二前磨牙
860,两侧下后牙颊侧牙龈糜烂，泛白左右对称
861,两侧甲状腺肿大
862,两侧脑神经损害
863,两侧腰部
864,两侧髋关节疼痛
865,两叶甲状腺可及、轻度肿大
866,两手颤动
867,两眼上翻
868,两眼不能同时注视目标
869,两眼交替遮盖时遮盖眼上斜
870,两眼低视力
871,两眼偏斜
872,两眼向中间偏斜
873,两眼向内偏斜
874,两眼向外偏斜
875,两眼向颞侧偏斜
876,两眼围绕其前后轴向颞侧
877,两眼的瞳孔经常向中间倾斜
878,两眼相反
879,两眼看一物体时感觉为两个物像的异常现象
880,两眼视力低下
881,两眼视轴不平行
882,两眼距离远
883,两眼骨性间距增加
884,两肺听诊以哮鸣音为主
885,两肺呼吸音粗
886,两肺底部可闻及细小湿.音
887,两肺散在干湿啰音
888,两肺有湿啰音
889,两肺湿啰音
890,两肺湿性啰音
891,两肺满布湿罗音
892,两膝不能靠拢
893,两膝无法靠拢
894,两足内踝相碰
895,两足内踝能相碰
896,两颗体积较小的多生牙
897,两颧略高
898,严重内脏出血
899,严重出血
900,严重呼吸困难
901,严重失水
902,严重影响视力
903,严重心功能不全
904,严重心律失常
905,严重挫裂伤
906,严重时出现全身反应
907,严重时可影响穿鞋
908,严重时癫痫发作
909,严重智力落后
910,严重液气胸
911,严重灼伤
912,严重瘙痒
913,严重的外转受限
914,严重的高血压
915,严重磨损至咬合降低
916,严重经典型患者出现脑水肿
917,严重缺氧
918,严重者出现行为怪异
919,严重者发生急性肾衰竭
920,严重者可发生呼吸骤停
921,严重者足弓已塌陷
922,严重而快速的附着丧失
923,严重肌强直
924,严重肌无力
925,严重肝功能不全
926,严重肺部感染
927,严重脱发
928,严重腹泻
929,严重腹胀
930,严重营养不良
931,严重贫血
932,严重贫血者可有轻度黄疸
933,严重酸中毒
934,个别有心脏传导阻滞
935,个别牙先天性缺失
936,个别牙错位
937,中上腹不适
938,中上腹及右上腹隐痛
939,中上腹烧灼感
940,中上腹烧灼痛
941,中上腹疼痛
942,中上腹痛
943,中上腹绞痛
944,中上腹胀
945,中上腹腹痛反复发作
946,中上腹钝痛
947,中上腹隐痛
948,中上腹饱胀
949,中下腹
950,中下腹轻压痛
951,中低分化腺癌
952,中切牙形态异常成锥形
953,中央凹陷
954,中央前房深度略浅
955,中央坏死
956,中央微凹如脐窝
957,中央水疱
958,中央消退
959,中央溃疡
960,中央萎缩呈紫蓝色，脱屑
961,中央虹膜黏连
962,中央角膜毛玻璃样
963,中度发热
964,中度唇外翻
965,中度性休克
966,中度昏迷
967,中度智力障碍
968,中度疼痛
969,中心凹变平
970,中心凹处视网膜增厚
971,中心坏死
972,中心性青紫
973,中心暗点
974,中心有脐凹样蓝黑色开口
975,中心视力下降
976,中心视力不同程度下降
977,中心视力减低
978,中心视力缓慢下降
979,中性粒细胞浸润
980,中昏迷
981,中枢性呼吸衰竭
982,中枢神经功能障碍
983,中枢神经系统
984,中枢神经系统侵犯
985,中枢神经系统出血
986,中枢神经系统实质性病变
987,中枢神经系统浸润
988,中枢神经系统病变
989,中止服药迅速缓解
990,中毒
991,中毒不良反应
992,中毒性MHb血症
993,中毒性耳聋
994,中毒症状
995,中湿啰音
996,中等度发热
997,中等硬度
998,中细湿啰音
999,中耳乳突占位
1000,中隔下塌
1001,中隔下陷
1002,中隔软骨
1003,中风偏瘫
1004,中高热
1005,串珠样改变
1006,串珠状
1007,临近关节活动受限
1008,临近关节疼痛
1009,临近器官压迫症状
1010,为少量白痰
1011,为皮肤黏膜出血
1012,主动伸直手指
1013,主动关节活动消失
1014,主动活动时疼痛加重
1015,主动脉关闭不全杂音
1016,主动脉区第一心音减弱
1017,主动脉壁钙化
1018,主动脉夹层
1019,主动脉弹性降低
1020,主动脉狭窄
1021,主动脉瓣关闭不全
1022,主动脉瓣区出现杂音
1023,主动脉瓣区可闻及Ⅱ～Ⅲ/Ⅳ级收缩期吹风样杂音
1024,主动脉瓣区喷射性收缩期杂音
1025,主动脉瓣区收缩期杂音
1026,主动脉瓣区第二心音亢进
1027,主动脉瓣区第二心音亢进可呈金属调
1028,主动脉瓣区舒张期杂音
1029,主动脉瓣反流
1030,主动脉瓣听诊区
1031,主动脉瓣狭窄
1032,主动脉瓣病变
1033,主动脉瓣钙化并反流
1034,主动脉缩窄较重
1035,主动运动减少
1036,主观集合近点较客观集合近点远
1037,举手肌无力
1038,举痛
1039,久立负重后患足疼痛
1040,义眼座外露
1041,乍寒乍热
1042,乏力
1043,乏力不适
1044,乏力呼吸急促缺氧表现
1045,乏力感
1046,乏力纳差
1047,乒乓头
1048,乒乓球样凹陷
1049,乙型病毒性肝炎
1050,书写障碍
1051,乳中切牙龋损且松动
1052,乳内肿块质地囊性感明显
1053,乳头Paget病
1054,乳头乳晕糜烂
1055,乳头位置低于乳房下皱襞
1056,乳头内陷
1057,乳头凹陷
1058,乳头增生
1059,乳头样增生
1060,乳头湿疹
1061,乳头溃疡
1062,乳头溢液
1063,乳头溢血
1064,乳头烧灼
1065,乳头状
1066,乳头状突起
1067,乳头状肿物
1068,乳头疼痛
1069,乳头瘙痒
1070,乳头瘤样
1071,乳头糜烂
1072,乳头红斑
1073,乳头肥大
1074,乳尖牙及第一二乳磨牙的牙冠宽度总和比替换后的恒尖牙和第一二前磨牙大
1075,乳尖牙早接触导致创伤性疼痛
1076,乳尖牙磨耗不足
1077,乳尖牙高出牙弓合平面
1078,乳恒牙替换时间紊乱
1079,乳房下垂
1080,乳房下间擦部位境界清楚的斑片
1081,乳房丘疹
1082,乳房体积小于200ml
1083,乳房体积超过正常
1084,乳房压痛
1085,乳房发育
1086,乳房发育差
1087,乳房增大
1088,乳房缺如
1089,乳房肥大
1090,乳房肿块
1091,乳房肿大
1092,乳房肿物
1093,乳房胀痛
1094,乳房萎缩
1095,乳房触痛
1096,乳房近期局部腺体增厚
1097,乳晕外生殖器色素脱失
1098,乳晕烧灼
1099,乳晕瘙痒
1100,乳牙多数早失
1101,乳牙恒牙混合排列
1102,乳牙早失
1103,乳牙早萌
1104,乳牙未全部萌出
1105,乳牙未脱落
1106,乳牙滞留
1107,乳牙牙釉质裂纹
1108,乳牙脱落
1109,乳牙脱落时间超前于正常脱落时间
1110,乳牙萌出过迟
1111,乳牙迟萌
1112,乳牙长保留
1113,乳状精液
1114,乳磨牙早失
1115,乳突尖至下颌角
1116,乳突皮下淤血
1117,乳突部疼痛
1118,乳糜尿
1119,乳糜样腹水
1120,乳糜泻
1121,乳糜液
1122,乳糜痰
1123,乳糜胸
1124,乳腺分泌乳汁
1125,乳腺发育
1126,乳腺增大
1127,乳腺疼痛
1128,乳腺结节
1129,乳腺结节增生
1130,乳腺肿块
1131,乳腺肿物
1132,乳酸中毒
1133,乳酸升高
1134,二便失禁
1135,二便异常
1136,二便障碍
1137,二尖瓣
1138,二尖瓣关闭不全
1139,二尖瓣前叶中部近内侧缘
1140,二尖瓣区出现杂音
1141,二尖瓣区收缩期吹风样杂音
1142,二尖瓣区舒张期杂音
1143,二尖瓣反流
1144,二尖瓣后叶稍厚
1145,二尖瓣后叶部分腱索钙化
1146,二尖瓣听诊区反流性杂音
1147,二尖瓣收缩期杂音
1148,二尖瓣狭窄
1149,二尖瓣病变
1150,二尖瓣脱垂
1151,二尖瓣面容
1152,二度Ⅰ型房室传导阻滞第一心音逐渐减弱
1153,二度Ⅱ型房室传导阻滞有间歇性心搏脱漏但第一心音恒定
1154,二度房室传导阻滞
1155,二期口咽腔黏膜斑
1156,二期梅毒疹
1157,二氧化碳弥散功能
1158,云雾状黑影
1159,亚单位结构缺失
1160,亚急性的体征症状
1161,亚急性非对称性少关节炎
1162,交叉性偏瘫
1163,交叉性瘫痪
